name,detail_slug,website_url,detail_url,description,last_seen_at
Charles River,charles-river,http://www.brainsonline.org/,https://lifecooperative.nl/en/members/charles-river,"At Charles River, we are passionate about our role in improving the quality of people's lives. Our mission, our excellent science, and our strong sense of purpose guide us in everything we do. We approach each day with the knowledge that our work helps improve the health and well-being of many people worldwide.",2026-08-16T07:22:09.270806+00:00
Comecer Netherlands,comecer-netherlands,,https://lifecooperative.nl/en/members/comecer-netherlands,"Comecer Netherlands BV in Joure develops, manufactures and sells a wide range of innovative software and hardware products that are used worldwide in hospitals within the fields of nuclear medicine and the radio)pharmaceutical industry.",2026-08-16T07:22:09.270806+00:00
Cortalix,cortalix,https://cortalix.com/,https://lifecooperative.nl/en/members/cortalix,"Cortalix is a biotechnology company specializing in the development of nutraceuticals, diagnostics, radiopharmaceuticals, and immunotherapeutics. Our proprietary single-domain antibody (sdAb) discovery platform, also known as a nanobody platform, utilizes synthetic sdAb libraries to target novel biomarkers. ""Cortalix is a Dutch biotechnology company focused on the discovery and engineering of single-domain antibodies (VHH, nanobodies) for therapeutic, diagnostic, and analytical applications. Our integrated platform combines proprietary synthetic libraries with immune libraries generated through llama immunization, allowing us to identify high-affinity binders for a wide range of targets, including those considered difficult or intractable. We develop nanobodies for diverse applications, including radiopharmaceuticals (e.g. immuno-PET imaging and targeted radiotherapy), CAR-T cell therapy (nanobody-based targeting domains), and advanced diagnostics such as ELISA, bioanalysis, and affinity capture. A particular strength of our platform is the ability to design and produce bi- and trispecific nanobodies. These multispecific constructs enhance cell-type specificity, especially relevant in oncology, and offer powerful means to modulate pharmacokinetics or create theranostic agents with both targeting and effector functions. Cortalix provides end-to-end nanobody services, from discovery and optimization to production, conjugation and functionalization. We collaborate with industry and academic partners to deliver customized solutions, enabling the next generation of precision medicines and high-performance analytical tools.”",2026-08-16T07:22:09.270806+00:00
DELPHINIUM,delphinium,https://delphiniumcro.com/,https://lifecooperative.nl/en/members/delphinium,"DELPHINIUM is a dedicated and dynamic company consisting of experienced professionals specializing in phase I clinical trials. Our 12-bed clinic, located in the Netherlands, focuses on clinical studies with healthy volunteers. We offer a range of services, including project management, monitoring, data management, and bioanalysis. Our Focus At DELPHINIUM, we focus on: Volunteer Recruitment: Informing and guiding participants interested in taking part in phase I trials. Pharmacy Services: Managing and administering investigational drugs according to the highest safety standards. Safety Laboratory: Conducting laboratory tests to ensure the safety and well-being of participants. eSource/Data Entry: Efficient and accurate data collection and entry to guarantee research data integrity. Project Management: Coordinating and managing all aspects of clinical trials to ensure smooth and timely execution. Our Mission At DELPHINIUM, we strive for professional excellence with a personal approach. Led by CEO Jitske Beukema, COO/CMO Christine Voors, and CFO Agnes Boelens, we are committed to conducting clinical trials for the development of new medicines.",2026-08-16T07:22:09.270806+00:00
Demcon,demcon,https://www.demcon.nl/,https://lifecooperative.nl/en/members/demcon,"DEMCON is a high-end technology supplier of products and systems, with as focus areas high-tech, medical , embedded, optomechatronic and industrial systems & vision. DEMCON is a fast-growing business that supports clients with a wide range of competencies. As a system supplier, DEMCON can meet the entire needs of its clients, from proof of principle, prototype and pre-production to serial production. In 25 years, the business has grown to become the DEMCON Group (with more than 440 employees in 2018). The head office is situated in Enschede, with subsidiary locations in Son, Oldenzaal, Groningen, Delft and Münster (Germany). DEMCON has clients worldwide, from the Netherlands and Germany to Asia and the US. Zernike Campus DEMCON has chosen to establish itself on the Zernike Campus, the hub for science and engineering in the northern part of the city of Groningen. Schipper explains: “Edward van der Meer, director of the campus, helped us with our introduction to Groningen and finding suitable housing. We are moving into a multi-tenant business building, where we will also bring together our activities from Roden.” In Roden, DEMCON has worked in recent years on applications for measuring muscle tension in respiratory muscles, for example, in prematurely born children. This expertise is particularly relevant for DEMCON’s subsidiary, DEMCON macawi respiratory systems, which develops and produces ventilators for patients of all ages.",2026-08-16T07:22:09.270806+00:00
Detact Diagnostics,detact-diagnostics,https://detactdiagnostics.com,https://lifecooperative.nl/en/members/detact-diagnostics,"Detact Diagnostics is a biotech start-up founded in 2014. The company has developed a patented, innovative, and groundbreaking platform for the detection of bacteria and viruses. This platform is highly sensitive, specific, and extremely fast (seconds to minutes), making it suitable for both in-vivo and in-vitro diagnostic applications. The technology is based on Near-Infra-Red (NIR) light emission, which is released when a cleavable peptide comes into contact with its target. This results in a stable emission of near-infrared light, which can be detected through substances and tissues. The emitted light is captured by the Detact Diagnostics DeNIRO reader. We are developing applications for both the healthcare and food safety markets.",2026-08-16T07:22:09.270806+00:00
Diavantis,diavantis,,https://lifecooperative.nl/en/members/diavantis,Developing and providing personal digitalized (self learning based on AI tech and algorithms) buddy tool for patients with diabetes type 2 and prediabetes supporting patients to reverse their disease into a medication free phase.,2026-08-16T07:22:09.270806+00:00
EV Biotech,ev-biotech,https://evbio.tech/,https://lifecooperative.nl/en/members/ev-biotech,"EV Biotech combines cutting-edge AI with deep fermentation expertise to design, optimize, and scale microbial production strains. Through our proprietary ArtemisAI platform, we co-develop bio-based products with partners — from early strain engineering to industrial-scale readiness. Whether you’re launching a novel ingredient or improving an existing process, we turn your vision into a scalable, commercially viable reality.",2026-08-16T07:22:09.270806+00:00
Enatom,enatom,,https://lifecooperative.nl/en/members/enatom,"Anatomy education for tomorrow’s healthcare professional. An anatomical e-learning application with photorealistic content in which knowledge and testing can take place in an intuitive, personalized and catchy way at any place and any time. Anatomie-onderwijs voor de zorgprofessional van morgen. Een anatomische e-learningapplicatie met fotorealistische inhoud, waarin kennisoverdracht en toetsing op een intuïtieve, persoonlijke en aantrekkelijke manier op elke plaats en op elk moment kunnen plaatsvinden.",2026-08-16T07:22:09.270806+00:00
Griphingo Pharmaceuticals,griphingo-pharmaceuticals,,https://lifecooperative.nl/en/members/griphingo-pharmaceuticals,"Griphingo Pharmaceuticals is a University of Groningen spin-off that aims to improve the quality of life of thousands of patients with chronic obstructive pulmonary disease (COPD), by local administration of their proprietary lead compound. COPD is a chronic, progressive and ultimately fatal disease, for which currently no adequate therapy is available. Griphingo’s invention reduces pulmonary inflammation and fibrosis. The disease-modifying approach has first-in-class potential in restoring lung function. The observed positive effects are connected to a decrease in neutrophil influx in the lungs as a result of a decrease in IL-8. The effects are also associated with the restoration of the expression of the anti-inflammatory cytokine IL-10 and a reduction in fibronectin. Research on COPD is traditionally strong in the University of Groningen and the University Medical Centre Groningen. Griphingo Pharmaceuticals’ development of molecules for COPD treatment capitalizes on this local strength. Their team and partner network is poised to continue with the pre-clinical studies to progress their lead compound to a Phase I clinical trial. This should provide a steppingstone for future clinical trials to bring our novel inhalation therapy for COPD patients closer to practice.",2026-08-16T07:22:09.270806+00:00
H&P Moulding,hp-moulding-eng,http://www.hpmoulding.com/,https://lifecooperative.nl/en/members/hp-moulding-eng,"H&P Moulding is a full-service, turnkey manufacturer of plastic injection-moulded parts. With over 30 years’ experience in the industry, we offer comprehensive mould design services from concept to completion, high-quality plastic injection-moulded products, as well as packaging and delivery. Lees meer",2026-08-16T07:22:09.270806+00:00
ICON,icon,https://www.iconplc.com/,https://lifecooperative.nl/en/members/icon,"Wij zijn een wereldwijde aanbieder van adviesdiensten en uitbestede ontwikkelings- en commercialiseringsdiensten aan farmaceutische bedrijven, biotechnologiebedrijven, fabrikanten van medische hulpmiddelen en overheids- en volksgezondheidsorganisaties. Wij richten onze innovatie op de factoren die voor onze klanten van cruciaal belang zijn – het verkorten van de time-to-market, het verlagen van de kosten en het verhogen van de kwaliteit – en ons wereldwijde team van experts beschikt over uitgebreide ervaring in een breed scala aan therapeutische gebieden. Wij streven ernaar om als betrouwbare partner te fungeren en onze klanten te begeleiden door het steeds veranderende landschap van klinische ontwikkeling, zodat zij hun bedrijfsdoelstellingen beter kunnen realiseren. Lees meer",2026-08-16T07:22:09.270806+00:00
IMDS,imds-eng,,https://lifecooperative.nl/en/members/imds-eng,"IMDS (International Medical Device Solutions) is dedicated to improve the patient outcome of percutaneous coronary interventions (PCI). With strong focus on game changing in-house technology we develop unique solutions enabling advanced treatment options. All of our manufacturing is performed in our Roden, The Netherlands, based facility. This enables end-to-end quality control and seamless transition from idea to final product.",2026-08-16T07:22:09.270806+00:00
IQ Products,iq-products,https://www.iqproducts.nl/,https://lifecooperative.nl/en/members/iq-products,"IQ Products is a global developer, manufacturer and supplier of a range of high quality antibody-based diagnostic products. Flow cytometry is one of our specialties, but our knowledge also includes ELISA, antibodies and other assays.",2026-08-16T07:22:09.270806+00:00
Implican,implican,https://implican.nl,https://lifecooperative.nl/en/members/implican,Implican develops a surgical device for use in colorectal anastomoses procedures. Our patented technology is aiming at improved medical outcomes by reducing the risk of anastomotic leakage. We are dedicated to launch a sustainable re-usable device to facilitate the reduction of hospital waste. Implican believes in a profitable circular business model while also reducing society health care costs.,2026-08-16T07:22:09.270806+00:00
Innocore,innocore,https://innocorepharma.com/,https://lifecooperative.nl/en/members/innocore,InnoCore is the partner of choice to the global pharma and biotech industry for developing long-acting injectable peptide and biologic therapeutics to improve the lives of patients. We are a global leader in bioresorbable polymer based parenteral dosage forms and experts in formulating peptides and complex biologics into scalable long-acting injectable (LAI) dosage forms with customized pharmacokinetics.,2026-08-16T07:22:09.270806+00:00
Ipsomics,ipsomics,https://ipsomics.com,https://lifecooperative.nl/en/members/ipsomics,Single-cell genomics and transcriptomics / Induced pluripotent stem cells-derived disease models / CRISPR genome engineering / Organ-on-a-chip,2026-08-16T07:22:09.270806+00:00
Ivy Medical,ivy-medical,https://www.lab-medisan.com/,https://lifecooperative.nl/en/members/ivy-medical,"Medisan Laboratory contributes to human and animal health by using natural and biologically active ingredients. These are often herbs, plants or extracts, sometimes combined with vitamins, minerals, amino acids, proteins, probiotics or enzymes. Lees meer",2026-08-16T07:22:09.270806+00:00
Laboratorium Medisan,laboratorium-medisan,,https://lifecooperative.nl/en/members/laboratorium-medisan,Laboratorium Medisan | LIFE Cooperative EN menu Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN NL EN EN close Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN NL EN Back | Home Members Laboratorium Medisan Laboratorium Medisan,2026-08-16T07:22:09.270806+00:00
Lode Holding,lode-holding,https://lodeholding.nl/,https://lifecooperative.nl/en/members/lode-holding,"Lode Holding is the parent company of Lode, ProCare, aXtion, Umaco and Omnium. With a wealth of experience, a long history and a wide range of high-quality products and services in the fields of lifestyle, sport, prevention and healthcare, Lode Holding has been a leading and reliable partner for over 75 years. Our focus is on human movement and performance. Lees meer",2026-08-16T07:22:09.270806+00:00
MimeCure BV,mimecure-bv,,https://lifecooperative.nl/en/members/mimecure-bv,"MimeCure is active in the development of innovative regenerative drugs against pulmonary diseases, such as COPD, asthma and pulmonary fibrosis. The company has proprietary compounds based on Osteoglycin. Current activities are merely focused around MimeCure’s lead compound MC002.",2026-08-16T07:22:09.270806+00:00
NAMCO Healthcare Technology,namco-healthcare-technology-en,https://namco.nl/,https://lifecooperative.nl/en/members/namco-healthcare-technology-en,"NAMCO supports Healthcare Delivery Organizations and Economical Operators of Medical Devices in developing and sustaining highest Quality levels. Focus areas are compliancy, maintenance, sustainability, post-market surveillance and vigilance (recall processes) of Medical Devices. Services affect the complete range of Medical Devices: from low complexity Class I devices until high complexity Medical Device Software / AI products. www.namco.nl",2026-08-16T07:22:09.270806+00:00
Neolook Solutions,neolook-solutions,https://www.neolooksolutions.com/,https://lifecooperative.nl/en/members/neolook-solutions,"Neolook is a leading provider of state-of-the-art neonatal and pediatric video solutions that bridge the gap between families and their little ones, that support nurses and physicians in giving care across boundaries and that fosters scientific research. We have a branch for development in Groningen, The Netherlands.",2026-08-16T07:22:09.270806+00:00
Obseq,obseq,,https://lifecooperative.nl/en/members/obseq,"Obseq is a start-up developing an innovative healthcare service to support and improve treatment adherence among Dutch patients through digital, patient-centered care and guidance. The name of the service is Balto.",2026-08-16T07:22:09.270806+00:00
Ofichem,ofichem,https://ofichem.com/,https://lifecooperative.nl/en/members/ofichem,"We deliver end-to-end support across drug substances, drug products, packaging, sourcing and distribution. Our European sites work together to provide flexible, audit-ready services tailored to your needs from small batches to large scale supply. Progress moves faster with us beside you. Lees meer",2026-08-16T07:22:09.270806+00:00
Opthec BV,opthec-bv,https://www.ophtec.com/,https://lifecooperative.nl/en/members/opthec-bv,"At Ophtec we look beyond what works; we focus on what works perfectly. We develop intraocular lenses (IOLs) and solutions, with best in class design and innovative optica. Founded by an ophthalmologist, we wholeheartedly care for people to see clearly. That is why we care for the ophthalmologists we work with. In the OR, before and after. We are here, for you to be able to perform your best job possible.",2026-08-16T07:22:09.270806+00:00
PEZY,pezy,https://www.pezy.com/,https://lifecooperative.nl/en/members/pezy,"PEZY is a full-service product development agency with a team of 70 specialists in innovation consultancy, design, engineering, electronics and industrialisation. We bring clarity to complex problems, uncover new possibilities and help bring innovative solutions to life, ensuring that technology, the user and design go hand in hand.",2026-08-16T07:22:09.270806+00:00
Paramedir,paramedir,,https://lifecooperative.nl/en/members/paramedir,"ParaMedir is a start-up that uses its two core technologies, microfluidics and biosensors to develop (bio)monitoring tools for continuous monitoring. The company was founded in Groningen in 2018 and it has been growing ever since. Currently, ParaMedir is applying its technology on the development of a medical device for the assessment of kidney function of AKI in IC settings, the UriMoni™. The UriMoni, allows continuous monitoring of key biomarkers for the assessment of kidney function, continuously and in real-time, via the integration of a series of (bio)sensors in a microfluidic device. In addition, the company is developing new biosensors, based on their proprietary technology for (continuous) monitoring of key biomarkers such as glucose, lactate, creatinine and urea in biologically relevant matrices for biomedical applications. ParaMedir also provides contract research services in the fields of microfluidics, biosensoring and biomonitoring/bioanalysis.",2026-08-16T07:22:09.270806+00:00
PolyVation,polyvation,https://www.polyvation.com/,https://lifecooperative.nl/en/members/polyvation,"PolyVation provides polymer development, custom synthesis, scale-up and GMP manufacturing services for customers developing and commercializing advanced biomedical and pharmaceutical product applications.",2026-08-16T07:22:09.270806+00:00
Portal Biotech,portal,https://portalbiotech.com,https://lifecooperative.nl/en/members/portal,"Zernikelaan 8, 9747 AA Groningen Portal Biotech developed a single-molecule nanopore biosensing platform which can be used for multiple applications like Protein ID, Protein sequencing, PTM detection or QA qualifications. This highly flexible and accessible platform can be a usefull tool for academics as well as (Bio)pharmaceutical companies.",2026-08-16T07:22:09.270806+00:00
Precision Cognition Labs,precision-cognition-labseng,,https://lifecooperative.nl/en/members/precision-cognition-labseng,"Precision Cognition Labs is a science-led health-tech company specializing in cognitive assessment and memory modeling. Its expertise lies in applying cognitive psychology and computational models to measure memory performance with high precision. The company’s core service is the Seattle–Groningen Memory Assessment (SGMA), a rapid, adaptive, and remote digital test thatevaluates how individuals retain and forget information. Its primary market includes clinical research, healthcare providers, and large-scale population studies, where accurate, repeatable cognitive measurement is essential.",2026-08-16T07:22:09.270806+00:00
Protyon BV,protyon-bv,https://protyon.tech/,https://lifecooperative.nl/en/members/protyon-bv,"Protyon is an European company based in The Netherlands, committed to delivering personalized, data-driven solutions that are designed to meet the unique needs of each cancer patient, thereby enhancing treatment efficacy and improving patient outcomes.",2026-08-16T07:22:09.270806+00:00
Proxcys,proxcys,https://proxcys.com/,https://lifecooperative.nl/en/members/proxcys,"Proxcys B.V. is an independent enterprise based in the Netherlands. Founded in 2003, Proxcys develops and produces tailor made state of the art Downstream Processing (DSP) equipment used by major international biopharmaceutical companies to produce therapeutic proteins. Proxcys is the world’s primary producer of High Performance low pressure cGMP compliant Radial Flow Chromatography equipment and is characterized by high quality standards and innovative, custom solutions.",2026-08-16T07:22:09.270806+00:00
Pulmo Tech,pulmo-tech,https://www.pulmo-tech.com/,https://lifecooperative.nl/en/members/pulmo-tech,"PulmoTech is a start-up based in the province of Groningen, in the northern part of the Netherlands. The team is dedicated to give critically ill ventilated patients admitted to the intensive care a fighting chance. This can be achieved by our CE approved innovative intelligent Esophageal Pressure Catheter (iEPC), which combines pressure measurements in the esophagus with nasogastric enteral feeding.",2026-08-16T07:22:09.270806+00:00
PureIMS,pure,https://pureims.com/,https://lifecooperative.nl/en/members/pure,"PureIMS owns exclusive world-wide license rights of Cyclops™, a dry‑powder inhaler for rapid and controlled drug delivery, easy‑to‑use, comfortable, pre‑filled, and disposable, ensuring high dose delivery and a fast onset‑of‑action. Recently the company closed agreements for the application of Cyclops™ in the development of therapeutics for NTM and IPF and for COVID‑19‑vaccination. In addition to partnering programs, PureIMS has a clinical stage in‑house pipeline also open to outlicensing; lead programs are Cyclops™ inhalers for levodopa (PD), epinephrine (anaphylaxis) and colistin (CF and NCFB). Lees meer",2026-08-16T07:22:09.270806+00:00
QDI Systems,qdi-systems,https://qdisystems.com,https://lifecooperative.nl/en/members/qdi-systems,"QDI systems is a deep tech startup established in Groningen as a spin-off from Zernike Institute for Advanced Materials. Our technology relies on quantum dots – tiny nanoparticles which are the basis of a unique photosensitive ink, which we are developing as a platform to build imaging devices for medical applications.",2026-08-16T07:22:09.270806+00:00
QPS Netherlands BV,qps-netherlands-bv,https://qps.com,https://lifecooperative.nl/en/members/qps-netherlands-bv,QPS Netherlands BV | LIFE Cooperative EN menu Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN EN EN close Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN EN Back | Home Members QPS Netherlands BV QPS Netherlands BV,2026-08-16T07:22:09.270806+00:00
Quantall,quantall,https://www.quantall.com/,https://lifecooperative.nl/en/members/quantall,"Quantall is a Bay Area preclinical Contract Research Organization (CRO), with offices in the USA and Europe. We provide specialized and fit for purpose discovery tools to support your drug development journey with LC-MS and Immunoassay workflows.",2026-08-16T07:22:09.270806+00:00
Regenity,regenity,https://regenity.com/,https://lifecooperative.nl/en/members/regenity,"From reinvigorating product portfolios to driving regulatory approvals, Regenity Biosciences is a trusted partner in regenerative medicine. Founded in 1997, Regenity is a trailblazer in soft and hard tissue regeneration. We bring curiosity, scientific rigor, and a sense of urgency to creating transformative medical and dental solutions. Headquartered in Paramus, New Jersey in the U.S., and Groningen in the Netherlands, our 275 employees worldwide deliver more than four million devices a year to medical technology clients across 86 countries.",2026-08-16T07:22:09.270806+00:00
Reyedar,reyedar,https://www.reyedar.com/,https://lifecooperative.nl/en/members/reyedar,"Reyedar provides a unique window to people’s health by combining eye tracking and Deep Learning: we make the screening of visual and neurodegenerative diseases accessible and affordable through fast, objective, and user-friendly testing.",2026-08-16T07:22:09.270806+00:00
SE Factory,se-factory,https://sefactory.com/,https://lifecooperative.nl/en/members/se-factory,"SE Factory is a Groningen-based manufacturer and developer of the EMDR Kit, a tool that supports therapists in trauma treatment. The company designs, develops and manufactures this equipment entirely in-house – from concept and prototype to production and global distribution. With its technical expertise in areas such as electronics and product development, SE Factory focuses on user-friendly, innovative solutions that make EMDR therapy more effective and comfortable. Meer info",2026-08-16T07:22:09.270806+00:00
SG Papertronics,sg-papertronics,,https://lifecooperative.nl/en/members/sg-papertronics,We aim to provide laboratory grade quality control without the need for static machines or specialized training. In addition to our onsite testing device we also offer off-site lab testing to Craft Breweries as well as collaboration on joint R+D projects.,2026-08-16T07:22:09.270806+00:00
SHINE,shine,,https://lifecooperative.nl/en/members/shine,"Based in Janesville, Wisconsin, SHINE deploys its safe, cost-effective and environmentally friendly fusion technology in a stepwise approach. Its systems are used to inspect industrial components in aerospace, defense, energy and other sectors. SHINE’s proprietary medical isotope production processes create non-carrier-added lutetium-177 and are expected to create molybdenum-99. In the future, SHINE plans to scale its fusion technology to help solve one of energy’s toughest hurdles by recycling nuclear waste. Through a purpose-driven and phased approach, SHINE aims to generate fusion power to deliver clean, abundant energy that could transform life on Earth. SHINE Technologies LLC, Phoenix LLC and SHINE Europe B.V. are all wholly owned subsidies of Illuminated Holdings, Inc. Want to learn more about SHINE? Visit www.shinefusion.com and follow us @shinefusion.",2026-08-16T07:22:09.270806+00:00
SPCTR,spctr,https://www.spctr.tech/,https://lifecooperative.nl/en/members/spctr,"SPCTR is developing an AI-driven platform for real-time tissue analysis during cancer surgery. With its first product, surgeons will gain insight into the margins of removed tumour tissue within minutes, enabling them to assess during the same operation whether further tissue removal is necessary. In doing so, SPCTR aims to reduce the need for reoperations and additional treatments, lower healthcare costs and improve the quality of care for cancer patients. The platform is initially being developed for breast cancer surgery and can subsequently be scaled up to other solid tumours.",2026-08-16T07:22:09.270806+00:00
STT Products,stt-products-eng,https://sttproducts.nl/,https://lifecooperative.nl/en/members/stt-products-eng,"At STT Products, they develop bespoke, innovative technical solutions for the manufacturing industry. Complex projects such as complete production lines and product handling machines are our speciality. We always work with the client to find the best solution. They are passionate about engineering and about designing and building unique machines.",2026-08-16T07:22:09.270806+00:00
Sabiad,sabiad,https://sabiad.eu,https://lifecooperative.nl/en/members/sabiad,"L.J. Zielstraweg 1, 9713 GX Groningen Next-Gen Tracer for Infection Imaging Sabiad’s solution is a major innovation in the field of infection imaging. It uses monoclonal antibodies, making the diagnosis of Staphylococcus Areus related infections in the (orthopedic) implant area not only accurate but also fast and minimally invasive.",2026-08-16T07:22:09.270806+00:00
